Actif;Date;High;Low;Open;Close;Volume
^FTSE;03/04/2012;5890.2;5838.3;5874.9;5838.3;896434000
^FTSE;02/04/2012;5874.9;5748.6;5768.5;5874.9;886248600
^FTSE;30/03/2012;5782.7;5742;5742;5768.5;990970000
^FTSE;29/03/2012;5812.2;5726.5;5809;5742;1084172000
^FTSE;28/03/2012;5877.9;5809;5869.5;5809;931820200
^FTSE;27/03/2012;5941.9;5863.8;5902.7;5869.5;1257297300
^FTSE;26/03/2012;5913.1;5854.5;5854.9;5902.7;722858600
^FTSE;23/03/2012;5875.7;5801.7;5845.6;5854.9;848516800
^FTSE;22/03/2012;5892;5825.9;5892;5845.6;883155600
^FTSE;21/03/2012;5921.7;5880.8;5891.4;5892;907211200
^FTSE;20/03/2012;5961.1;5876.4;5961.1;5891.4;978545200
^FTSE;19/03/2012;5968.9;5928.5;5965.6;5961.1;951265200
^FTSE;16/03/2012;5974;5940.7;5940.7;5965.6;1834534000
^FTSE;15/03/2012;5958.2;5919.2;5945.4;5940.7;1039944300
^FTSE;14/03/2012;5989.1;5945.4;5955.9;5945.4;1165017900
^FTSE;13/03/2012;5957.9;5892.8;5892.8;5955.9;761933800
^FTSE;12/03/2012;5894.1;5860.4;5887.5;5892.8;800992000
^FTSE;09/03/2012;5897.6;5842.9;5859.7;5887.5;854778800
^FTSE;08/03/2012;5874.3;5791.4;5791.4;5859.7;828107600
^FTSE;07/03/2012;5801.1;5755.7;5765.8;5791.4;859928000
^FTSE;06/03/2012;5874.8;5758.4;5874.8;5765.8;994358800
^FTSE;05/03/2012;5911.1;5865.4;5911.1;5874.8;873447200
^FTSE;02/03/2012;5940;5908.5;5931.3;5911.1;758193600
^FTSE;01/03/2012;5936.1;5858.9;5871.5;5931.3;900749800
^FTSE;29/02/2012;5944.8;5871.5;5927.9;5871.5;1201160900
^FTSE;28/02/2012;5937;5900;5915.5;5927.9;804670200
^FTSE;27/02/2012;5935.1;5865.9;5935.1;5915.5;972274400
^FTSE;24/02/2012;5964;5925.5;5937.9;5935.1;1011161700
^FTSE;23/02/2012;5952.5;5900.5;5916.5;5937.9;1071356800
^FTSE;22/02/2012;5938;5894.6;5928.2;5916.5;875208000
^FTSE;21/02/2012;5948.8;5916.6;5945.3;5928.2;846269200
